Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Hungary,Europe,9660521,4127,,578,,2663,,886,13,427,60,267056,27644,Europe
Bosnia and Herzegovina,Europe,3280924,3935,,178,,2338,,1419,4,1199,54,88548,26989,Europe
Mauritania,Africa,4646990,3907,,120,,1280,,2507,21,841,26,13842,2979,Africa
Greece,Europe,10423348,3343,,191,,1374,,1778,11,321,18,295851,28383,Europe
CAR,Africa,4828335,3340,,40,,661,,2639,2,692,8,22884,4740,
French Guiana,South America,298515,3270,,11,,1166,,2093,21,10954,37,8061,27004,
Thailand,Asia,69798329,3162,,58,,3040,,64,1,45,0.8,468175,6708,South-EastAsia
Somalia,Africa,15883150,2878,,90,,868,,1920,2,181,6,,,EasternMediterranean
Costa Rica,North America,5093524,2836,,12,,1280,,1544,6,557,2,38500,7559,Americas
Croatia,Europe,4105397,2539,,107,,2150,,282,,618,26,75437,18375,Europe
Mayotte,Africa,272679,2508,,32,,2218,,258,8,9198,117,8800,32272,
Cuba,North America,11326670,2325,,85,,2180,,60,1,205,8,159571,14088,Americas
Maldives,Asia,540381,2283,,8,,1863,,412,9,4225,15,46891,86774,South-EastAsia
Albania,Europe,2877821,2269,,51,,1298,,920,15,788,18,22183,7708,Europe
Nicaragua,North America,6623436,2170,,74,,1238,,858,,328,11,,,Americas
Mali,Africa,20237294,2060,,113,,1387,,560,,102,6,12807,633,Africa
Sri Lanka,Asia,21412328,2014,,11,,1619,,384,1,94,0.5,101226,4727,South-EastAsia
Equatorial Guinea,Africa,1401811,2001,,32,,515,,1454,,1427,23,16000,11414,Africa
Estonia,Europe,1326527,1986,,69,,1797,,120,1,1497,52,104299,78626,Europe
South Sudan,Africa,11191875,1942,,36,,224,,1682,1,174,3,10226,914,Africa
Madagascar,Africa,27675702,1922,,16,,862,,1044,20,69,0.6,20066,725,Africa
Iceland,Europe,341218,1832,,10,,1813,,9,,5369,29,73148,214373,Europe
Lithuania,Europe,2722344,1808,,78,,1501,,229,16,664,29,410867,150924,Europe
Paraguay,South America,7131278,1711,,13,,1013,,685,2,240,2,63974,8971,Americas
Lebanon,Asia,6825627,1697,,33,,1144,,520,6,249,5,125058,18322,EasternMediterranean
Slovakia,Europe,5459620,1643,,28,,1455,,160,,301,5,206362,37798,Europe
Guinea-Bissau,Africa,1967053,1614,,22,,191,,1401,5,821,11,1500,763,Africa
Slovenia,Europe,2078936,1558,,109,,1376,,73,2,749,52,98810,47529,Europe
Palestine,Asia,5099021,1557,,3,,446,,1108,,305,0.6,84621,16596,EasternMediterranean
Zambia,Africa,18372230,1531,,21,,1233,,277,1,83,1,52195,2841,Africa
New Zealand,Australia/Oceania,5002100,1522,2,22,,1484,,16,,304,4,387435,77454,WesternPacific
Sierra Leone,Africa,7973963,1394,,59,,914,,421,,175,7,,,Africa
Hong Kong,Asia,7496236,1197,,7,,1091,,99,1,160,0.9,321498,42888,WesternPacific
Tunisia,Africa,11816956,1164,,50,,1023,,91,,99,4,68542,5800,EasternMediterranean
Latvia,Europe,1886257,1112,,30,,932,,150,1,590,16,145086,76917,Europe
Jordan,Asia,10201800,1104,,9,,830,,265,3,108,0.9,362326,35516,EasternMediterranean
Yemen,Asia,29813140,1089,,293,,402,,394,,37,10,120,4,EasternMediterranean
Congo,Africa,5515246,1087,,37,,456,,594,,197,7,,,Africa
Niger,Africa,24182675,1059,,67,,919,,73,,44,3,6449,267,Africa
Benin,Africa,12116284,1053,,14,,292,,747,2,87,1,55478,4579,Africa
Cabo Verde,Africa,555905,1027,,10,,568,,449,,1847,18,1560,2806,Africa
Malawi,Africa,19119281,1005,,13,,260,,732,4,53,0.7,12578,658,Africa
Cyprus,Asia,1207255,992,,19,,824,,149,,822,16,151975,125885,Europe
Burkina Faso,Africa,20890404,941,,53,,830,,58,,45,3,,,Africa
Uruguay,South America,3473611,919,,26,,818,,75,2,265,7,62765,18069,Americas
Georgia,Asia,3989222,919,,14,,780,,125,5,230,4,98486,24688,Europe
Chad,Africa,16414951,865,,74,,778,,13,,53,5,,,Africa
Rwanda,Africa,12945471,858,,2,,398,,458,,66,0.2,130047,10046,Africa
Andorra,Europe,77264,855,,52,,799,,4,,11066,673,3750,48535,Europe
Uganda,Africa,45705250,833,,,,761,,72,,18,,170789,3737,Africa
Mozambique,Africa,31235488,816,,5,,223,,588,,26,0.2,27123,868,Africa
Eswatini,Africa,1160003,728,,8,,367,,353,5,628,7,6551,5647,Africa
Libya,Africa,6869884,713,,18,,142,,553,,104,3,23075,3359,EasternMediterranean
Diamond Princess,,,712,,13,,651,,48,4,,,,,
Sao Tome and Principe,Africa,219087,712,,13,,219,,480,,3250,59,1763,8047,Africa
San Marino,Europe,33930,698,,42,,656,,0,,20572,1238,5669,167079,Europe
Jamaica,North America,2961033,686,2,10,,539,13,137,,232,3,23331,7879,Americas
Liberia,Africa,5055266,684,,34,,285,,365,,135,7,,,Africa
Malta,Europe,441532,670,,9,,632,,29,,1517,20,92517,209536,Europe
Togo,Africa,8274788,591,,14,,395,,182,2,71,2,29347,3547,Africa
Channel Islands,Europe,173842,571,,47,,512,,12,,3285,270,10255,58990,
Zimbabwe,Africa,14859556,561,,6,,135,,420,,38,0.4,65704,4422,Africa
Réunion,Africa,895237,517,,2,,460,,55,3,578,2,17200,19213,
Tanzania,Africa,59695024,509,,21,,183,,305,7,9,0.4,,,Africa
Taiwan,Asia,23816384,447,,7,,435,,5,,19,0.3,76209,3200,WesternPacific
Montenegro,Europe,628065,439,,9,,315,,115,,699,14,13186,20995,Europe
Suriname,South America,586565,389,,10,,181,,198,8,663,17,1165,1986,Americas
Vietnam,Asia,97327460,353,,,,330,,23,1,4,,275000,2826,WesternPacific
Mauritius,Africa,1271749,341,,10,,326,,5,,268,8,171792,135083,Africa
Isle of Man,Europe,85028,336,,24,,312,,0,,3952,282,6158,72423,
Myanmar,Asia,54405596,293,,6,,215,,72,,5,0.1,68404,1257,South-EastAsia
Comoros,Africa,869247,272,,7,,161,,104,,313,8,,,Africa
Syria,Asia,17491838,255,,8,,102,,145,,15,0.5,,,EasternMediterranean
Martinique,North America,375267,242,,14,,98,,130,,645,37,,,
Mongolia,Asia,3277425,219,,,,175,5,44,9,67,,21651,6606,WesternPacific
Guyana,South America,786512,215,,12,,108,,95,1,273,15,2355,2994,Americas
Angola,Africa,32841235,212,,10,,81,,121,1,6,0.3,10000,304,Africa
Cayman Islands,North America,65711,196,,1,,186,,9,,2983,15,22657,344798,
Faeroe Islands,Europe,48861,187,,,,187,,0,,3827,,12750,260944,
Guadeloupe,North America,400123,182,,14,,157,,11,2,455,35,8239,20591,
Gibraltar,Europe,33691,176,,,,176,,0,,5224,,12057,357870,
Eritrea,Africa,3545675,167,,,,53,,114,,47,,,,Africa
Bermuda,North America,62279,146,,9,,133,,4,1,2344,145,10634,170748,Americas
Burundi,Africa,11882372,144,,1,,93,,50,,12,0.08,382,32,Africa
Brunei ,Asia,437425,141,,3,,138,,0,,322,7,28395,64914,
Cambodia,Asia,16715449,139,9,,,129,1,10,1,8,,34316,2053,WesternPacific
Trinidad and Tobago,North America,1399444,124,,8,,109,,7,,89,6,4861,3474,Americas
Namibia,Africa,2540103,121,,,,22,,99,1,48,,8180,3220,Africa
Bahamas,North America,393195,104,,11,,84,,9,1,264,28,2366,6017,Americas
Monaco,Europe,39239,102,,4,,95,,3,,2599,102,16200,412855,Europe
Aruba,North America,106761,101,,3,,98,,0,,946,28,2333,21853,
Barbados,North America,287372,97,,7,,90,,0,1,338,24,7675,26708,Americas
Botswana,Africa,2350747,92,,1,,25,,66,1,39,0.4,36868,15684,Africa
Liechtenstein,Europe,38127,82,,1,,81,,0,,2151,26,900,23605,Europe
Sint Maarten,North America,42869,77,,15,,62,,0,,1796,350,477,11127,
Bhutan,Asia,771491,70,,,,38,,32,,91,,23988,31093,South-EastAsia
Antigua and Barbuda,North America,97919,65,,3,,22,,40,1,664,31,680,6945,Americas
French Polynesia,Australia/Oceania,280890,60,,,,60,,0,,214,,4649,16551,
Macao,Asia,649201,46,,,,45,,1,,71,,,,
Gambia,Africa,2415119,43,,2,,26,,15,,18,0.8,2035,843,Africa
Saint Martin,North America,38655,42,,3,,36,,3,1,1087,78,685,17721,
St. Vincent Grenadines,North America,110937,29,,,,29,,0,,261,,784,7067,
Belize,North America,397502,24,1,2,,18,1,4,,60,5,2188,5504,Americas
Lesotho,Africa,2142043,24,,,,4,,20,,11,,3000,1401,Africa
Timor-Leste,Asia,1317995,24,,,,24,,0,,18,,1568,1190,South-EastAsia
Curaçao,North America,164086,23,,1,,19,,3,,140,6,1080,6582,
Grenada,North America,112518,23,,,,23,,0,,204,,4130,36705,Americas
New Caledonia,Australia/Oceania,285462,21,,,,21,,0,,74,,8260,28936,
Laos,Asia,7273919,19,,,,19,,0,,3,,14161,1947,WesternPacific
Saint Lucia,North America,183618,19,,,,19,,0,,103,,1619,8817,Americas
Dominica,North America,71984,18,,,,18,,0,,250,,623,8655,Americas
Fiji,Australia/Oceania,896368,18,,,,18,,0,,20,,4000,4462,WesternPacific
Turks and Caicos,North America,38709,16,,1,,11,,4,,413,26,444,11470,
Saint Kitts and Nevis,North America,53195,15,,,,15,,0,,282,,447,8403,Americas
Falkland Islands,South America,3478,13,,,,13,,0,,3738,,1027,295285,
Greenland,North America,56769,13,,,,13,,0,,229,,3341,58853,Europe
Vatican City,Europe,801,12,,,,12,,0,,14981,,,,Europe
Montserrat,North America,4992,11,,1,,10,,0,,2204,200,61,12220,
Papua New Guinea,Australia/Oceania,8943994,11,,,,8,,3,,1,,5637,630,WesternPacific
Seychelles,Africa,98340,11,,,,11,,0,,112,,,,Africa
Western Sahara,Africa,597032,10,,1,,8,,1,,17,2,,,Africa
MS Zaandam,,,9,,2,,,,7,,,,,,
